animal,back left,back right,front right,front left
m1015,|[75, 14]|,|[687, 18]|,|[654, 949]|,|[127, 940]|
m1016,|[69, 7]|,|[679, 12]|,|[652, 943]|,|[127, 935]|
m1017,|[65, 7]|,|[683, 9]|,|[653, 946]|,|[129, 935]|
m1086,|[266, 28]|,|[880, 33]|,|[828, 986]|,|[297, 979]|
m1087,|[276, 30]|,|[890, 31]|,|[837, 988]|,|[301, 982]|
m972,|[248, 175]|,|[712, 166]|,|[914, 498]|,|[118, 518]|
m971,|[307, 151]|,|[777, 143]|,|[946, 482]|,|[143, 496]|
m973,|[310, 149]|,|[774, 143]|,|[935, 477]|,|[141, 484]|
m1018,|[77, 17]|,|[686, 17]|,|[652, 948]|,|[129, 936]|
m1019,|[75, 13]|,|[686, 17]|,|[650, 950]|,|[128, 940]|
m1020,|[71, 18]|,|[682, 18]|,|[653, 951]|,|[128, 941]|
m1021,|[71, 9]|,|[678, 7]|,|[653, 945]|,|[128, 938]|
m1022,|[72, 14]|,|[686, 17]|,|[651, 948]|,|[127, 943]|
m1023,|[75, 18]|,|[682, 19]|,|[652, 950]|,|[127, 943]|
m1023,|[74, 18]|,|[683, 11]|,|[654, 953]|,|[127, 940]|
m1024,|[75, 18]|,|[682, 17]|,|[653, 947]|,|[128, 941]|
m1061,|[315, 92]|,|[878, 91]|,|[854, 1000]|,|[329, 993]|
m1063,|[312, 90]|,|[880, 90]|,|[856, 997]|,|[331, 991]|
